accession,release_date,length,genotype,segment,protein,geo_location,country,collection_date,genbank_title
AFE11270.1,2012-03-25T00:00:00Z,252,H1N1,7,matrix protein 1,China,China,1/5/2010,matrix protein 1 [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11271.1,2012-03-25T00:00:00Z,97,H1N1,7,matrix protein 2,China,China,1/5/2010,matrix protein 2 [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11272.1,2012-03-25T00:00:00Z,219,H1N1,8,nonstructural protein 1,China,China,1/5/2010,nonstructural protein 1 [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]
AFE11273.1,2012-03-25T00:00:00Z,86,H1N1,8,nuclear export protein,China,China,1/5/2010,"nuclear export protein, partial [Influenza A virus (A/Tianjinnankai/SWL413/2010(H1N1))]"
AFE11275.1,2012-03-25T00:00:00Z,757,H1N1,2,polymerase PB1,China,China,1/2/2010,polymerase PB1 [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11276.1,2012-03-25T00:00:00Z,716,H1N1,3,polymerase PA,China,China,1/2/2010,polymerase PA [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11277.1,2012-03-25T00:00:00Z,566,H1N1,4,hemagglutinin,China,China,1/2/2010,hemagglutinin [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11278.1,2012-03-25T00:00:00Z,498,H1N1,5,nucleocapsid protein,China,China,1/2/2010,nucleocapsid protein [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11279.1,2012-03-25T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/2/2010,neuraminidase [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11280.1,2012-03-25T00:00:00Z,252,H1N1,7,matrix protein 1,China,China,1/2/2010,matrix protein 1 [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11281.1,2012-03-25T00:00:00Z,97,H1N1,7,matrix protein 2,China,China,1/2/2010,matrix protein 2 [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11282.1,2012-03-25T00:00:00Z,219,H1N1,8,nonstructural protein 1,China,China,1/2/2010,nonstructural protein 1 [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]
AFE11283.1,2012-03-25T00:00:00Z,86,H1N1,8,nuclear export protein,China,China,1/2/2010,"nuclear export protein, partial [Influenza A virus (A/Tianjinnankai/SWL49/2010(H1N1))]"
AFF59147.1,2012-03-31T00:00:00Z,759,H5N1,1,polymerase PB2,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,polymerase PB2 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59148.1,2012-03-31T00:00:00Z,757,H5N1,2,polymerase PB1,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,polymerase PB1 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59149.1,2012-03-31T00:00:00Z,90,H5N1,2,PB1-F2 protein,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,PB1-F2 protein [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59150.1,2012-03-31T00:00:00Z,716,H5N1,3,polymerase PA,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,polymerase PA [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59151.1,2012-03-31T00:00:00Z,568,H5N1,4,hemagglutinin,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,hemagglutinin [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59152.1,2012-03-31T00:00:00Z,498,H5N1,5,nucleocapsid protein,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,nucleocapsid protein [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59153.1,2012-03-31T00:00:00Z,449,H5N1,6,neuraminidase,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,neuraminidase [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59154.1,2012-03-31T00:00:00Z,252,H5N1,7,matrix protein 1,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,matrix protein 1 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59155.1,2012-03-31T00:00:00Z,97,H5N1,7,matrix protein 2,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,matrix protein 2 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59156.1,2012-03-31T00:00:00Z,225,H5N1,8,nonstructural protein 1,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,nonstructural protein 1 [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFF59157.1,2012-03-31T00:00:00Z,121,H5N1,8,nuclear export protein,Cambodia: Banteay Mean Chey,Cambodia,1/10/2012,nuclear export protein [Influenza A virus (A/Cambodia/W0112303/2012(H5N1))]
AFH41186.1,2012-04-14T00:00:00Z,469,H3N2,6,neuraminidase,Russia,Russia,2010-11,"neuraminidase, partial [Influenza A virus (A/Vladivostok/11/2010(H3N2))]"
AFH41187.1,2012-04-14T00:00:00Z,97,H3N2,7,matrix protein 2,Russia,Russia,2010-11,matrix protein 2 [Influenza A virus (A/Vladivostok/11/2010(H3N2))]
AFH41188.1,2012-04-14T00:00:00Z,252,H3N2,7,matrix protein 1,Russia,Russia,2010-11,matrix protein 1 [Influenza A virus (A/Vladivostok/11/2010(H3N2))]
AFH41320.1,2012-04-14T00:00:00Z,759,H1N1,1,polymerase PB2,Russia,Russia,1/20/2012,polymerase PB2 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41321.1,2012-04-14T00:00:00Z,757,H1N1,2,polymerase PB1,Russia,Russia,1/20/2012,polymerase PB1 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41322.1,2012-04-14T00:00:00Z,716,H1N1,3,polymerase PA,Russia,Russia,1/20/2012,polymerase PA [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41323.1,2012-04-14T00:00:00Z,566,H1N1,4,hemagglutinin,Russia,Russia,1/20/2012,hemagglutinin [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41324.1,2012-04-14T00:00:00Z,498,H1N1,5,nucleocapsid protein,Russia,Russia,1/20/2012,nucleocapsid protein [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41325.1,2012-04-14T00:00:00Z,469,H1N1,6,neuraminidase,Russia,Russia,1/20/2012,neuraminidase [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41326.1,2012-04-14T00:00:00Z,252,H1N1,7,matrix protein 1,Russia,Russia,1/20/2012,matrix protein 1 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41327.1,2012-04-14T00:00:00Z,97,H1N1,7,matrix protein 2,Russia,Russia,1/20/2012,matrix protein 2 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41328.1,2012-04-14T00:00:00Z,219,H1N1,8,nonstructural protein 1,Russia,Russia,1/20/2012,nonstructural protein 1 [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFH41329.1,2012-04-14T00:00:00Z,121,H1N1,8,nuclear export protein,Russia,Russia,1/20/2012,nuclear export protein [Influenza A virus (A/Tomsk/IIV-19/2012(H1N1))]
AFJ69989.1,2012-05-16T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,12/19/2010,neuraminidase [Influenza A virus (A/Ontario/0820663/2010(H1N1))]
AFJ69990.1,2012-05-16T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,12/30/2010,neuraminidase [Influenza A virus (A/Ontario/0843176/2010(H1N1))]
AFJ69991.1,2012-05-16T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,1/18/2011,neuraminidase [Influenza A virus (A/Ontario/0055084/2011(H1N1))]
AFJ69992.1,2012-05-16T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,3/14/2011,neuraminidase [Influenza A virus (A/Ontario/0216459/2011(H1N1))]
AFJ69993.1,2012-05-16T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,11/19/2010,neuraminidase [Influenza A virus (A/Ontario/0728447/2010(H3N2))]
AFJ69994.1,2012-05-16T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,1/20/2011,neuraminidase [Influenza A virus (A/Ontario/0065302/2011(H3N2))]
AFL56680.1,2012-06-11T00:00:00Z,759,H1N1,1,polymerase PB2,Russia,Russia,2/18/2012,polymerase PB2 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56681.1,2012-06-11T00:00:00Z,757,H1N1,2,polymerase PB1,Russia,Russia,2/18/2012,polymerase PB1 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56682.1,2012-06-11T00:00:00Z,716,H1N1,3,polymerase PA,Russia,Russia,2/18/2012,polymerase PA [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56683.1,2012-06-11T00:00:00Z,566,H1N1,4,hemagglutinin,Russia,Russia,2/18/2012,hemagglutinin [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56684.1,2012-06-11T00:00:00Z,498,H1N1,5,nucleocapsid protein,Russia,Russia,2/18/2012,nucleocapsid protein [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56685.1,2012-06-11T00:00:00Z,469,H1N1,6,neuraminidase,Russia,Russia,2/18/2012,neuraminidase [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56686.1,2012-06-11T00:00:00Z,252,H1N1,7,matrix protein 1,Russia,Russia,2/18/2012,matrix protein 1 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56687.1,2012-06-11T00:00:00Z,97,H1N1,7,matrix protein 2,Russia,Russia,2/18/2012,matrix protein 2 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56688.1,2012-06-11T00:00:00Z,219,H1N1,8,nonstructural protein 1,Russia,Russia,2/18/2012,nonstructural protein 1 [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFL56689.1,2012-06-11T00:00:00Z,121,H1N1,8,nuclear export protein,Russia,Russia,2/18/2012,nuclear export protein [Influenza A virus (A/Moscow/IIV-45/2012(H1N1))]
AFM78646.1,2012-06-30T00:00:00Z,566,H1N1,4,hemagglutinin,"China: Hefei, Anhui",China,1/14/2010,hemagglutinin [Influenza A virus (A/Anhui/1225/2010(H1N1))]
AGB08374.1,2012-12-26T00:00:00Z,566,H1N1,4,hemagglutinin,Saudi Arabia: Jeddah,Saudi Arabia,11/10/2010,hemagglutinin [Influenza A virus (A/Jeddah/3657/2010(H1N1))]
AEX63611.1,2013-01-01T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,8/24/2011,hemagglutinin [Influenza A virus (A/India/GWL02/2011(H1N1))]
AEX63612.1,2013-01-01T00:00:00Z,566,H1N1,4,hemagglutinin,India,India,8/24/2011,hemagglutinin [Influenza A virus (A/India/GWL01/2011(H1N1))]
AGE15475.1,2013-02-09T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,12/6/2011,neuraminidase [Influenza A virus (A/Ontario/1060303/2011(H1N1))]
AGE15476.1,2013-02-09T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,12/13/2011,neuraminidase [Influenza A virus (A/Ontario/1089836/2011(H1N1))]
AGE15477.1,2013-02-09T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,1/1/2012,neuraminidase [Influenza A virus (A/Ontario/0031804/2012(H1N1))]
AGE15478.1,2013-02-09T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,1/5/2012,neuraminidase [Influenza A virus (A/Ontario/0025427/2012(H1N1))]
AGE15479.1,2013-02-09T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,2/9/2012,neuraminidase [Influenza A virus (A/Ontario/0125950/2012(H1N1))]
AGE15480.1,2013-02-09T00:00:00Z,469,H1N1,6,neuraminidase,Canada,Canada,1/26/2012,neuraminidase [Influenza A virus (A/Ontario/0188466/2012(H1N1))]
AGF37809.1,2013-02-20T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,2/2/2012,neuraminidase [Influenza A virus (A/Ontario/0020386/2012(H3N2))]
AGF37862.1,2013-02-20T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,2/6/2012,neuraminidase [Influenza A virus (A/Ontario/0020413/2012(H3N2))]
AGF37865.1,2013-02-20T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,1/30/2012,neuraminidase [Influenza A virus (A/Ontario/0100647/2012(H3N2))]
AGF37866.1,2013-02-20T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,2/1/2012,neuraminidase [Influenza A virus (A/Ontario/0100778/2012(H3N2))]
AGF37867.1,2013-02-20T00:00:00Z,469,H3N2,6,neuraminidase,Canada,Canada,2/14/2012,neuraminidase [Influenza A virus (A/Ontario/0151090/2012(H3N2))]
AGF69137.1,2013-02-24T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/1/2013,neuraminidase [Influenza A virus (A/Zhejiang/HZa10/2013(H1N1))]
AGF69138.1,2013-02-24T00:00:00Z,469,H1N1,6,neuraminidase,China,China,12/31/2012,neuraminidase [Influenza A virus (A/Zhejiang/HuZ1/2012(H1N1))]
AGF69139.1,2013-02-24T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/9/2013,neuraminidase [Influenza A virus (A/Zhejiang/TZ6/2013(H1N1))]
AGF69140.1,2013-02-24T00:00:00Z,469,H1N1,6,neuraminidase,China,China,1/9/2013,neuraminidase [Influenza A virus (A/Zhejiang/TZ11/2013(H1N1))]
AFO38700.1,2013-03-16T00:00:00Z,469,H1N1,6,neuraminidase,India,India,8/24/2011,neuraminidase [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38701.1,2013-03-16T00:00:00Z,469,H1N1,6,neuraminidase,India,India,8/24/2011,neuraminidase [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38702.1,2013-03-16T00:00:00Z,759,H1N1,1,polymerase PB2,India,India,8/24/2011,polymerase PB2 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38703.1,2013-03-16T00:00:00Z,759,H1N1,1,polymerase PB2,India,India,8/24/2011,polymerase PB2 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38704.1,2013-03-16T00:00:00Z,757,H1N1,2,polymerase PB1,India,India,8/24/2011,polymerase PB1 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38705.1,2013-03-16T00:00:00Z,757,H1N1,2,polymerase PB1,India,India,8/24/2011,polymerase PB1 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38706.1,2013-03-16T00:00:00Z,716,H1N1,3,polymerase PA,India,India,8/24/2011,polymerase PA [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38707.1,2013-03-16T00:00:00Z,716,H1N1,3,polymerase PA,India,India,8/24/2011,polymerase PA [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38708.1,2013-03-16T00:00:00Z,498,H1N1,5,nucleocapsid protein,India,India,8/24/2011,nucleocapsid protein [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38709.1,2013-03-16T00:00:00Z,498,H1N1,5,nucleocapsid protein,India,India,8/24/2011,nucleocapsid protein [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38710.1,2013-03-16T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,8/24/2011,matrix protein 1 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38711.1,2013-03-16T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,8/24/2011,matrix protein 2 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38712.1,2013-03-16T00:00:00Z,252,H1N1,7,matrix protein 1,India,India,8/24/2011,matrix protein 1 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38713.1,2013-03-16T00:00:00Z,97,H1N1,7,matrix protein 2,India,India,8/24/2011,matrix protein 2 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38714.1,2013-03-16T00:00:00Z,219,H1N1,8,nonstructural protein 1,India,India,8/24/2011,nonstructural protein 1 [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38715.1,2013-03-16T00:00:00Z,121,H1N1,8,nuclear export protein,India,India,8/24/2011,nuclear export protein [Influenza A virus (A/India/GWL01/2011(H1N1))]
AFO38716.1,2013-03-16T00:00:00Z,219,H1N1,8,nonstructural protein 1,India,India,8/24/2011,nonstructural protein 1 [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFO38717.1,2013-03-16T00:00:00Z,121,H1N1,8,nuclear export protein,India,India,8/24/2011,nuclear export protein [Influenza A virus (A/India/GWL02/2011(H1N1))]
AFX68898.1,2013-05-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Takeo,Cambodia,5/17/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0601312/2011(H1N1))]
AFX68899.1,2013-05-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Banteay Meanchey,Cambodia,6/1/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0608350/2011(H1N1))]
AFX68900.1,2013-05-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom Penh,Cambodia,7/18/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0721310/2011(H1N1))]
AFX68901.1,2013-05-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Siem Reab,Cambodia,8/24/2011,hemagglutinin [Influenza A virus (A/Cambodia/V0902314/2011(H1N1))]
AFX68902.1,2013-05-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Phnom penh,Cambodia,9/22/2011,hemagglutinin [Influenza A virus (A/Cambodia/V1005346/2011(H1N1))]
AFX68903.1,2013-05-01T00:00:00Z,566,H1N1,4,hemagglutinin,Cambodia: Siem Reab,Cambodia,10/12/2011,hemagglutinin [Influenza A virus (A/Cambodia/V1019320/2011(H1N1))]
AFX82050.1,2013-05-01T00:00:00Z,469,H3N2,6,neuraminidase,Cambodia: Siem Reab,Cambodia,8/24/2011,neuraminidase [Influenza A virus (A/Cambodia/V0902310/2011(H3N2))]
AFX82051.1,2013-05-01T00:00:00Z,469,H3N2,6,neuraminidase,Cambodia: Phnom Penh,Cambodia,10/3/2011,neuraminidase [Influenza A virus (A/Cambodia/V1005380/2011(H3N2))]
AFX82052.1,2013-05-01T00:00:00Z,469,H3N2,6,neuraminidase,Cambodia: Battambang,Cambodia,10/10/2011,neuraminidase [Influenza A virus (A/Cambodia/V1013305/2011(H3N2))]
AFX82053.1,2013-05-01T00:00:00Z,469,H3N2,6,neuraminidase,Cambodia: Siem Reab,Cambodia,11/15/2011,neuraminidase [Influenza A virus (A/Cambodia/V1116321/2011(H3N2))]
AFX82054.1,2013-05-01T00:00:00Z,469,H3N2,6,neuraminidase,Cambodia: Takeo,Cambodia,11/6/2011,neuraminidase [Influenza A virus (A/Cambodia/V1116330/2011(H3N2))]
AFX82055.1,2013-05-01T00:00:00Z,97,H3N2,7,matrix protein 2,Cambodia: Siem Reab,Cambodia,8/24/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V0902310/2011(H3N2))]
AFX82056.1,2013-05-01T00:00:00Z,252,H3N2,7,matrix protein 1,Cambodia: Siem Reab,Cambodia,8/24/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V0902310/2011(H3N2))]
AFX82057.1,2013-05-01T00:00:00Z,97,H3N2,7,matrix protein 2,Cambodia: Phnom Penh,Cambodia,10/3/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V1005380/2011(H3N2))]
AFX82058.1,2013-05-01T00:00:00Z,252,H3N2,7,matrix protein 1,Cambodia: Phnom Penh,Cambodia,10/3/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V1005380/2011(H3N2))]
AFX82059.1,2013-05-01T00:00:00Z,97,H3N2,7,matrix protein 2,Cambodia: Battambang,Cambodia,10/10/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V1013305/2011(H3N2))]
AFX82060.1,2013-05-01T00:00:00Z,252,H3N2,7,matrix protein 1,Cambodia: Battambang,Cambodia,10/10/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V1013305/2011(H3N2))]
AFX82061.1,2013-05-01T00:00:00Z,97,H3N2,7,matrix protein 2,Cambodia: Siem Reab,Cambodia,11/15/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V1116321/2011(H3N2))]
AFX82062.1,2013-05-01T00:00:00Z,252,H3N2,7,matrix protein 1,Cambodia: Siem Reab,Cambodia,11/15/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V1116321/2011(H3N2))]
AFX82063.1,2013-05-01T00:00:00Z,97,H3N2,7,matrix protein 2,Cambodia: Takeo,Cambodia,11/6/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V1116330/2011(H3N2))]
AFX82064.1,2013-05-01T00:00:00Z,252,H3N2,7,matrix protein 1,Cambodia: Takeo,Cambodia,11/6/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V1116330/2011(H3N2))]
AFX82065.1,2013-05-01T00:00:00Z,469,H1N1,6,neuraminidase,Cambodia: Takeo,Cambodia,5/17/2011,neuraminidase [Influenza A virus (A/Cambodia/V0601312/2011(H1N1))]
AFX82066.1,2013-05-01T00:00:00Z,469,H1N1,6,neuraminidase,Cambodia: Banteay Meanchey,Cambodia,6/1/2011,neuraminidase [Influenza A virus (A/Cambodia/V0608350/2011(H1N1))]
AFX82067.1,2013-05-01T00:00:00Z,469,H1N1,6,neuraminidase,Cambodia: Phnom Penh,Cambodia,7/18/2011,neuraminidase [Influenza A virus (A/Cambodia/V0721310/2011(H1N1))]
AFX82068.1,2013-05-01T00:00:00Z,469,H1N1,6,neuraminidase,Cambodia: Siem Reab,Cambodia,8/24/2011,neuraminidase [Influenza A virus (A/Cambodia/V0902314/2011(H1N1))]
AFX82069.1,2013-05-01T00:00:00Z,469,H1N1,6,neuraminidase,Cambodia: Phnom penh,Cambodia,9/22/2011,neuraminidase [Influenza A virus (A/Cambodia/V1005346/2011(H1N1))]
AFX82070.1,2013-05-01T00:00:00Z,469,H1N1,6,neuraminidase,Cambodia: Siem Reab,Cambodia,10/12/2011,neuraminidase [Influenza A virus (A/Cambodia/V1019320/2011(H1N1))]
AFX82071.1,2013-05-01T00:00:00Z,97,H1N1,7,matrix protein 2,Cambodia: Takeo,Cambodia,5/17/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V0601312/2011(H1N1))]
AFX82072.1,2013-05-01T00:00:00Z,252,H1N1,7,matrix protein 1,Cambodia: Takeo,Cambodia,5/17/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V0601312/2011(H1N1))]
AFX82073.1,2013-05-01T00:00:00Z,97,H1N1,7,matrix protein 2,Cambodia: Banteay Meanchey,Cambodia,6/1/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V0608350/2011(H1N1))]
AFX82074.1,2013-05-01T00:00:00Z,252,H1N1,7,matrix protein 1,Cambodia: Banteay Meanchey,Cambodia,6/1/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V0608350/2011(H1N1))]
AFX82075.1,2013-05-01T00:00:00Z,97,H1N1,7,matrix protein 2,Cambodia: Phnom Penh,Cambodia,7/18/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V0721310/2011(H1N1))]
AFX82076.1,2013-05-01T00:00:00Z,252,H1N1,7,matrix protein 1,Cambodia: Phnom Penh,Cambodia,7/18/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V0721310/2011(H1N1))]
AFX82077.1,2013-05-01T00:00:00Z,97,H1N1,7,matrix protein 2,Cambodia: Siem Reab,Cambodia,8/24/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V0902314/2011(H1N1))]
AFX82078.1,2013-05-01T00:00:00Z,252,H1N1,7,matrix protein 1,Cambodia: Siem Reab,Cambodia,8/24/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V0902314/2011(H1N1))]
AFX82079.1,2013-05-01T00:00:00Z,97,H1N1,7,matrix protein 2,Cambodia: Phnom penh,Cambodia,9/22/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V1005346/2011(H1N1))]
AFX82080.1,2013-05-01T00:00:00Z,252,H1N1,7,matrix protein 1,Cambodia: Phnom penh,Cambodia,9/22/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V1005346/2011(H1N1))]
AFX82081.1,2013-05-01T00:00:00Z,97,H1N1,7,matrix protein 2,Cambodia: Siem Reab,Cambodia,10/12/2011,matrix protein 2 [Influenza A virus (A/Cambodia/V1019320/2011(H1N1))]
AFX82082.1,2013-05-01T00:00:00Z,252,H1N1,7,matrix protein 1,Cambodia: Siem Reab,Cambodia,10/12/2011,matrix protein 1 [Influenza A virus (A/Cambodia/V1019320/2011(H1N1))]
AGI60288.1,2013-05-01T00:00:00Z,495,H7N9,5,nucleocapsid protein,China,China,3/5/2013,"nucleocapsid protein, partial [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]"
AGI60290.1,2013-05-01T00:00:00Z,252,H7N9,7,matrix protein 1,China,China,3/5/2013,matrix protein 1 [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60291.1,2013-05-01T00:00:00Z,97,H7N9,7,matrix protein 2,China,China,3/5/2013,matrix protein 2 [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60292.1,2013-05-01T00:00:00Z,560,H7N9,4,hemagglutinin,China,China,3/5/2013,hemagglutinin [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60293.1,2013-05-01T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,3/5/2013,polymerase PB2 [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60294.1,2013-05-01T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,3/5/2013,polymerase PB1 [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60295.1,2013-05-01T00:00:00Z,465,H7N9,6,neuraminidase,China,China,3/5/2013,neuraminidase [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60296.1,2013-05-01T00:00:00Z,217,H7N9,8,nonstructural protein 1,China,China,3/5/2013,nonstructural protein 1 [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGI60297.1,2013-05-01T00:00:00Z,121,H7N9,8,nuclear export protein,China,China,3/5/2013,nuclear export protein [Influenza A virus (A/Shanghai/4664T/2013(H7N9))]
AGL07713.1,2013-05-11T00:00:00Z,566,H1N1,4,hemagglutinin,Russia,Russia,2/16/2011,hemagglutinin [Influenza A virus (A/Moscow/501/2011(H1N1))]
AGL07714.1,2013-05-11T00:00:00Z,498,H1N1,5,nucleocapsid protein,Russia,Russia,2/16/2011,nucleocapsid protein [Influenza A virus (A/Moscow/501/2011(H1N1))]
AGJ73498.1,2013-05-23T00:00:00Z,759,H7N9,1,polymerase PB2,China,China,3/28/2013,polymerase PB2 [Influenza A virus (A/Nanjing/1/2013(H7N9))]
AGJ73499.1,2013-05-23T00:00:00Z,757,H7N9,2,polymerase PB1,China,China,3/28/2013,polymerase PB1 [Influenza A virus (A/Nanjing/1/2013(H7N9))]
